race_id,venue_slug,date,race_no,lineup,ni_sha_tan,san_ren_tan,banum,player_name,pref,age,term,player_class,running_style,gear,race_score,rank,agari,finish_type,margin,win_lose
1220220701010001,aomori,2022-07-01,1,△3 注1 ◎2 ○4 ×5 ▲6,"3-4  1,360円(4)","3-4-5  20,380円(50)",1,川本 恵二  兵,庫,47,78,A3,追,3.92,84.11,4,11.8,nan,１車身,nan
1220220701010001,aomori,2022-07-01,1,△3 注1 ◎2 ○4 ×5 ▲6,"3-4  1,360円(4)","3-4-5  20,380円(50)",2,猪野 泰介  山,形,32,111,A3,逃,3.92,78.94,7,12.2,nan,３/４車身,nan
1220220701010001,aomori,2022-07-01,1,△3 注1 ◎2 ○4 ×5 ▲6,"3-4  1,360円(4)","3-4-5  20,380円(50)",3,岡田 大門  愛,知,40,87,A3,両,3.92,74.23,1,11.7,捲,nan,nan
1220220701010001,aomori,2022-07-01,1,△3 注1 ◎2 ○4 ×5 ▲6,"3-4  1,360円(4)","3-4-5  20,380円(50)",4,鈴木 規純  福,島,47,75,A3,追,3.92,73.50,2,11.9,差,１車身１/２,nan
1220220701010001,aomori,2022-07-01,1,△3 注1 ◎2 ○4 ×5 ▲6,"3-4  1,360円(4)","3-4-5  20,380円(50)",5,中山 拓人  埼,玉,22,121,A3,逃,3.92,70.80,3,11.8,nan,１/２車輪,nan
1220220701010001,aomori,2022-07-01,1,△3 注1 ◎2 ○4 ×5 ▲6,"3-4  1,360円(4)","3-4-5  20,380円(50)",6,二木 茂則  埼,玉,45,82,A3,追,3.92,69.79,6,11.7,nan,３/４車輪,nan
1220220701010001,aomori,2022-07-01,1,△3 注1 ◎2 ○4 ×5 ▲6,"3-4  1,360円(4)","3-4-5  20,380円(50)",7,物部 国治  東,京,48,76,A3,追,3.93,67.29,5,11.5,nan,１/４車輪,nan
1220220701010002,aomori,2022-07-01,2,△5 ×1 注2 ◎3 ○4 ▲6,3-4  430円(1),"3-4-5  1,540円(2)",1,今村 俊雄  山,梨,42,99,A3,追,3.92,81.33,4,11.7,nan,３/４車身,nan
1220220701010002,aomori,2022-07-01,2,△5 ×1 注2 ◎3 ○4 ▲6,3-4  430円(1),"3-4-5  1,540円(2)",2,菊池 崇訓  栃,木,45,85,A3,追,3.92,79.33,5,11.6,nan,１車輪,nan
1220220701010002,aomori,2022-07-01,2,△5 ×1 注2 ◎3 ○4 ▲6,3-4  430円(1),"3-4-5  1,540円(2)",3,高本 和也,神奈川,25,121,A3,逃,3.92,75.00,1,12.1,逃,nan,nan
1220220701010002,aomori,2022-07-01,2,△5 ×1 注2 ◎3 ○4 ▲6,3-4  430円(1),"3-4-5  1,540円(2)",4,戸ノ下 太郎  千,葉,46,76,A3,追,3.85,73.31,2,12.1,ク,１車身,nan
1220220701010002,aomori,2022-07-01,2,△5 ×1 注2 ◎3 ○4 ▲6,3-4  430円(1),"3-4-5  1,540円(2)",5,伊藤 之人  東,京,39,90,A3,両,3.92,72.33,3,11.7,nan,３/４車身,nan
1220220701010002,aomori,2022-07-01,2,△5 ×1 注2 ◎3 ○4 ▲6,3-4  430円(1),"3-4-5  1,540円(2)",6,田村 純一  福,島,35,92,A3,逃,3.92,70.46,6,11.6,nan,１車身１/２,nan
1220220701010002,aomori,2022-07-01,2,△5 ×1 注2 ◎3 ○4 ▲6,3-4  430円(1),"3-4-5  1,540円(2)",7,善方 政美  福,島,47,82,A3,逃,3.93,69.03,7,12.3,nan,３車身,nan
1220220701010003,aomori,2022-07-01,3,×5 △1 ◎7 ○2 ▲3 注6,5-1  210円(1),"5-1-4  3,080円(9)",1,奥山 雅士  静,岡,52,65,A3,追,3.92,82.33,2,12.5,ク,１/２車身,nan
1220220701010003,aomori,2022-07-01,3,×5 △1 ◎7 ○2 ▲3 注6,5-1  210円(1),"5-1-4  3,080円(9)",2,板橋 慎治  岐,阜,40,95,A3,両,3.92,82.19,5,12.8,nan,１/２車身,nan
1220220701010003,aomori,2022-07-01,3,×5 △1 ◎7 ○2 ▲3 注6,5-1  210円(1),"5-1-4  3,080円(9)",3,林 洋二  岐,阜,46,82,A3,追,3.92,81.33,落,nan,nan,nan,nan
1220220701010003,aomori,2022-07-01,3,×5 △1 ◎7 ○2 ▲3 注6,5-1  210円(1),"5-1-4  3,080円(9)",4,黒田 充  栃,木,48,73,A3,追,3.93,79.58,3,12.8,nan,３車身,nan
1220220701010003,aomori,2022-07-01,3,×5 △1 ◎7 ○2 ▲3 注6,5-1  210円(1),"5-1-4  3,080円(9)",5,吉原 友彦,神奈川,44,83,A3,両,3.92,77.23,1,12.5,捲,nan,nan
1220220701010003,aomori,2022-07-01,3,×5 △1 ◎7 ○2 ▲3 注6,5-1  210円(1),"5-1-4  3,080円(9)",6,駒井 大輔  東,京,47,98,A3,逃,3.93,68.75,4,13.1,nan,３/４車身,nan
1220220701010003,aomori,2022-07-01,3,×5 △1 ◎7 ○2 ▲3 注6,5-1  210円(1),"5-1-4  3,080円(9)",7,渋谷 征広  静,岡,40,91,A3,追,3.92 3.92,67.89,6,13.3,nan,４車身,nan
1220220701010004,aomori,2022-07-01,4,△4 ×1 ◎3 ○2 ▲7 注6,"1-2  6,520円(12)","1-2-4  21,990円(46)",1,中山 健  新,潟,38,89,A3,両,3.85,80.43,1,12.5,差,nan,nan
1220220701010004,aomori,2022-07-01,4,△4 ×1 ◎3 ○2 ▲7 注6,"1-2  6,520円(12)","1-2-4  21,990円(46)",2,煤賀 隆幸  秋,田,47,75,A3,追,3.92,79.69,2,12.4,差,１/２車身,nan
1220220701010004,aomori,2022-07-01,4,△4 ×1 ◎3 ○2 ▲7 注6,"1-2  6,520円(12)","1-2-4  21,990円(46)",3,五十嵐 綾  福,島,21,121,A3,逃,3.85,79.00,4,13.0,nan,３/４車身,nan
1220220701010004,aomori,2022-07-01,4,△4 ×1 ◎3 ○2 ▲7 注6,"1-2  6,520円(12)","1-2-4  21,990円(46)",4,内田 淳  千,葉,29,111,A3,逃,3.92,78.84,3,12.7,nan,１/４車輪,nan
1220220701010004,aomori,2022-07-01,4,△4 ×1 ◎3 ○2 ▲7 注6,"1-2  6,520円(12)","1-2-4  21,990円(46)",5,松本 琢也  兵,庫,38,95,A3,両,3.92,76.33,5,12.3,nan,３/４車輪,nan
1220220701010004,aomori,2022-07-01,4,△4 ×1 ◎3 ○2 ▲7 注6,"1-2  6,520円(12)","1-2-4  21,990円(46)",6,大松 純二  大,阪,34,99,A3,両,3.92,70.11,7,13.0,nan,６車身,nan
1220220701010004,aomori,2022-07-01,4,△4 ×1 ◎3 ○2 ▲7 注6,"1-2  6,520円(12)","1-2-4  21,990円(46)",7,佐藤 隆二,北海道,51,69,A3,追,3.85,69.16,6,12.5,nan,１車身,nan
1220220701010005,aomori,2022-07-01,5,△4 ×1 ◎3 ○2 注5 ▲6,3-6  990円(4),"3-6-1  6,660円(19)",1,小西 芳樹  大,阪,51,66,A3,追,3.93,82.33,3,12.4,nan,２車身,nan
1220220701010005,aomori,2022-07-01,5,△4 ×1 ◎3 ○2 注5 ▲6,3-6  990円(4),"3-6-1  6,660円(19)",2,白木 正彦  宮,城,46,84,A3,追,3.92,80.33,7,nan,nan,大差,nan
1220220701010005,aomori,2022-07-01,5,△4 ×1 ◎3 ○2 注5 ▲6,3-6  990円(4),"3-6-1  6,660円(19)",3,大川 剛  青,森,23,121,A3,逃,3.92,77.66,1,12.0,逃,nan,nan
1220220701010005,aomori,2022-07-01,5,△4 ×1 ◎3 ○2 注5 ▲6,3-6  990円(4),"3-6-1  6,660円(19)",4,舟元 権造  大,阪,39,92,A3,両,3.92,70.70,5,12.7,nan,３/４車身,nan
1220220701010005,aomori,2022-07-01,5,△4 ×1 ◎3 ○2 注5 ▲6,3-6  990円(4),"3-6-1  6,660円(19)",5,齋藤 明,北海道,55,61,A3,追,3.93,70.68,6,14.2,nan,大差,nan
1220220701010005,aomori,2022-07-01,5,△4 ×1 ◎3 ○2 注5 ▲6,3-6  990円(4),"3-6-1  6,660円(19)",6,小林 大能  千,葉,42,87,A3,追,3.92,68.40,2,12.1,捲,５車身,nan
1220220701010005,aomori,2022-07-01,5,△4 ×1 ◎3 ○2 注5 ▲6,3-6  990円(4),"3-6-1  6,660円(19)",7,渡辺 馨,神奈川,38,96,A3,両,3.92,67.85,4,12.2,nan,３/４車身,nan
1220220701010006,aomori,2022-07-01,6,○1 ◎2 ×3 △4 注5 ▲6,2-3  520円(3),"2-3-5  1,450円(4)",1,松本 詩乃  東,京,23,122,L1,両,3.77,53.77,4,12.9,nan,１/４車輪,nan
1220220701010006,aomori,2022-07-01,6,○1 ◎2 ×3 △4 注5 ▲6,2-3  520円(3),"2-3-5  1,450円(4)",2,岩崎 ゆみこ  茨,城,26,116,L1,両,3.77,52.27,1,12.7,差,nan,nan
1220220701010006,aomori,2022-07-01,6,○1 ◎2 ×3 △4 注5 ▲6,2-3  520円(3),"2-3-5  1,450円(4)",3,野口 諭実可  大,分,29,102,L1,両,3.77,51.66,2,12.5,ク,１/４車輪,nan
1220220701010006,aomori,2022-07-01,6,○1 ◎2 ×3 △4 注5 ▲6,2-3  520円(3),"2-3-5  1,450円(4)",4,野寺 楓  静,岡,23,122,L1,両,3.77,49.75,6,13.6,nan,５車身,nan
1220220701010006,aomori,2022-07-01,6,○1 ◎2 ×3 △4 注5 ▲6,2-3  520円(3),"2-3-5  1,450円(4)",5,三宅 玲奈  岡,山,26,108,L1,両,3.79,49.19,3,12.4,nan,１車身,nan
1220220701010006,aomori,2022-07-01,6,○1 ◎2 ×3 △4 注5 ▲6,2-3  520円(3),"2-3-5  1,450円(4)",6,青木 美優  栃,木,28,106,L1,両,3.71,46.40,7,13.8,nan,大差,nan
1220220701010006,aomori,2022-07-01,6,○1 ◎2 ×3 △4 注5 ▲6,2-3  520円(3),"2-3-5  1,450円(4)",7,堀田 萌那,北海道,21,120,L1,両,3.77,44.52,5,12.3,nan,２車身,nan
1220220701010007,aomori,2022-07-01,7,◎1 ○2 ×3 △4 注5 ▲6,1-3  470円(2),1-3-2  730円(3),1,山原 さくら  高,知,29,104,L1,両,3.77,56.76,1,12.0,捲,nan,nan
1220220701010007,aomori,2022-07-01,7,◎1 ○2 ×3 △4 注5 ▲6,1-3  470円(2),1-3-2  730円(3),2,山口 伊吹  長,崎,22,116,L1,両,3.77,53.66,3,12.1,nan,３/４車輪,nan
1220220701010007,aomori,2022-07-01,7,◎1 ○2 ×3 △4 注5 ▲6,1-3  470円(2),1-3-2  730円(3),3,田中 まい  千,葉,32,104,L1,両,3.79,51.64,2,12.1,ク,１車身１/２,nan
1220220701010007,aomori,2022-07-01,7,◎1 ○2 ×3 △4 注5 ▲6,1-3  470円(2),1-3-2  730円(3),4,伊藤 のぞみ,北海道,34,116,L1,両,3.77,49.50,4,12.3,nan,１車身１/２,nan
1220220701010007,aomori,2022-07-01,7,◎1 ○2 ×3 △4 注5 ▲6,1-3  470円(2),1-3-2  730円(3),5,野崎 菜美  山,口,26,118,L1,両,3.79,46.95,5,12.1,nan,３/４車身,nan
1220220701010007,aomori,2022-07-01,7,◎1 ○2 ×3 △4 注5 ▲6,1-3  470円(2),1-3-2  730円(3),6,藤原 亜衣里  新,潟,41,102,L1,両,3.77,46.74,6,12.6,nan,５車身,nan
1220220701010007,aomori,2022-07-01,7,◎1 ○2 ×3 △4 注5 ▲6,1-3  470円(2),1-3-2  730円(3),7,奥平 彩乃  群,馬,30,122,L1,両,3.64,44.33,7,12.9,nan,大差,nan
2320220629030001,toride,2022-06-29,1,×1 ▲6 △5 ◎3 ○2 注4,3-2  300円(1),3-2-4  440円(1),1,吉田 彰久  香,川,48,80,A2,追,3.93,83.27,6,12.8,nan,大差,nan
2320220629030001,toride,2022-06-29,1,×1 ▲6 △5 ◎3 ○2 注4,3-2  300円(1),3-2-4  440円(1),2,野木 義規,北海道,49,72,A1,追,3.92,85.16,2,11.8,ク,３/４車身,nan
2320220629030001,toride,2022-06-29,1,×1 ▲6 △5 ◎3 ○2 注4,3-2  300円(1),3-2-4  440円(1),3,市川 健太  東,京,46,82,A1,両,3.92,84.71,1,11.8,逃,nan,nan
2320220629030001,toride,2022-06-29,1,×1 ▲6 △5 ◎3 ○2 注4,3-2  300円(1),3-2-4  440円(1),4,植草 亮介  千,葉,38,90,A2,追,3.92,84.18,3,11.8,nan,３/４車身,nan
2320220629030001,toride,2022-06-29,1,×1 ▲6 △5 ◎3 ○2 注4,3-2  300円(1),3-2-4  440円(1),5,井山 和裕  山,口,43,84,A2,追,3.92,82.94,4,11.7,nan,３/４車身,nan
2320220629030001,toride,2022-06-29,1,×1 ▲6 △5 ◎3 ○2 注4,3-2  300円(1),3-2-4  440円(1),6,吉田 周司  香,川,53,70,A2,追,3.92,80.62,5,11.9,nan,３車身,nan
2320220629030002,toride,2022-06-29,2,×7 △1 注4 ▲2 ◎6 ○5,"6-2  32,460円(38)","6-2-1  142,290円(183)",1,梶原 恵介  大,分,40,92,A2,追,3.92,81.91,3,11.9,nan,タイヤ差,nan
2320220629030002,toride,2022-06-29,2,×7 △1 注4 ▲2 ◎6 ○5,"6-2  32,460円(38)","6-2-1  142,290円(183)",2,杉浦 康一,北海道,57,58,A2,追,3.92,79.90,2,11.8,捲,１/２車輪,nan
2320220629030002,toride,2022-06-29,2,×7 △1 注4 ▲2 ◎6 ○5,"6-2  32,460円(38)","6-2-1  142,290円(183)",3,松永 晃典  静,岡,47,76,A2,追,3.92,79.03,7,11.7,nan,２車身,nan
2320220629030002,toride,2022-06-29,2,×7 △1 注4 ▲2 ◎6 ○5,"6-2  32,460円(38)","6-2-1  142,290円(183)",4,加藤 昌平  福,岡,46,80,A2,追,3.93,82.00,6,12.0,nan,１車身１/２,nan
2320220629030002,toride,2022-06-29,2,×7 △1 注4 ▲2 ◎6 ○5,"6-2  32,460円(38)","6-2-1  142,290円(183)",5,栗田 雄矢  静,岡,36,96,A2,追,3.92,85.11,5,11.5,nan,１/２車輪,nan
2320220629030002,toride,2022-06-29,2,×7 △1 注4 ▲2 ◎6 ○5,"6-2  32,460円(38)","6-2-1  142,290円(183)",6,関 敬  栃,木,45,81,A2,追,3.92,77.66,1,11.7,差,nan,nan
2320220629030002,toride,2022-06-29,2,×7 △1 注4 ▲2 ◎6 ○5,"6-2  32,460円(38)","6-2-1  142,290円(183)",7,安東 英博  大,分,41,87,A2,追,3.92,83.93,4,12.0,nan,１/８車輪,nan
2320220629030003,toride,2022-06-29,3,○1 ◎5 △3 ▲6 ×4 注7,"3-5  1,080円(2)","3-5-1  3,420円(7)",1,土田 武志  茨,城,23,115,A2,逃,3.92,83.20,3,12.0,nan,３/４車身,nan
2320220629030003,toride,2022-06-29,3,○1 ◎5 △3 ▲6 ×4 注7,"3-5  1,080円(2)","3-5-1  3,420円(7)",2,細川 貴史  広,島,41,87,A1,追,3.92,82.76,5,11.5,nan,１/２車輪,nan
2320220629030003,toride,2022-06-29,3,○1 ◎5 △3 ▲6 ×4 注7,"3-5  1,080円(2)","3-5-1  3,420円(7)",3,原 大智  宮,城,25,117,A2,逃,3.85,82.44,1,11.6,差,nan,nan
2320220629030003,toride,2022-06-29,3,○1 ◎5 △3 ▲6 ×4 注7,"3-5  1,080円(2)","3-5-1  3,420円(7)",4,下沖 功児  宮,崎,38,95,A2,両,3.93,84.42,7,12.8,nan,大差,nan
2320220629030003,toride,2022-06-29,3,○1 ◎5 △3 ▲6 ×4 注7,"3-5  1,080円(2)","3-5-1  3,420円(7)",5,山崎 悟  茨,城,37,92,A2,両,3.92,87.03,2,11.8,差,１/２車身,nan
2320220629030003,toride,2022-06-29,3,○1 ◎5 △3 ▲6 ×4 注7,"3-5  1,080円(2)","3-5-1  3,420円(7)",6,中川 拓也  群,馬,36,94,A1,逃,3.92,81.75,6,11.3,nan,１車輪,nan
2320220629030003,toride,2022-06-29,3,○1 ◎5 △3 ▲6 ×4 注7,"3-5  1,080円(2)","3-5-1  3,420円(7)",7,秋山 貴宏  佐,賀,40,89,A1,両,3.92,84.66,4,11.5,nan,１/４車輪,nan
2320220629030004,toride,2022-06-29,4,◎7 ○1 △2 ×4 ▲6 注3,4-2  950円(3),"4-2-6  5,400円(22)",1,岩本 純  岡,山,40,94,A1,両,3.93,85.96,6,12.3,nan,９車身,nan
2320220629030004,toride,2022-06-29,4,◎7 ○1 △2 ×4 ▲6 注3,4-2  950円(3),"4-2-6  5,400円(22)",2,馬場 和広  埼,玉,31,98,A2,両,3.92,87.80,2,12.2,逃,１/２車身,nan
2320220629030004,toride,2022-06-29,4,◎7 ○1 △2 ×4 ▲6 注3,4-2  950円(3),"4-2-6  5,400円(22)",3,大沼 孝行  静,岡,47,74,A2,逃,3.92,82.07,4,11.8,nan,１/２車輪,nan
2320220629030004,toride,2022-06-29,4,◎7 ○1 △2 ×4 ▲6 注3,4-2  950円(3),"4-2-6  5,400円(22)",4,藤田 竜矢  埼,玉,42,88,A1,両,3.92,83.37,1,12.0,差,nan,nan
2320220629030004,toride,2022-06-29,4,◎7 ○1 △2 ×4 ▲6 注3,4-2  950円(3),"4-2-6  5,400円(22)",5,森川 剛,神奈川,43,89,A2,追,3.92,81.63,7,12.7,nan,３車身,nan
2320220629030004,toride,2022-06-29,4,◎7 ○1 △2 ×4 ▲6 注3,4-2  950円(3),"4-2-6  5,400円(22)",6,西島 貢司  熊,本,53,64,A2,追,3.92,79.68,3,11.9,nan,１/４車輪,nan
2320220629030004,toride,2022-06-29,4,◎7 ○1 △2 ×4 ▲6 注3,4-2  950円(3),"4-2-6  5,400円(22)",7,藤原 亮太  岡,山,34,97,A2,両,3.92,87.73,5,11.8,nan,３/４車身,nan
2320220629030005,toride,2022-06-29,5,△1 ▲2 注4 ×5 ◎3 ○7,"7-1  3,580円(10)","7-1-3  7,380円(24)",1,太刀川 一成  千,葉,41,100,S2,追,3.92,96.06,2,11.4,差,１/２車輪,nan
2320220629030005,toride,2022-06-29,5,△1 ▲2 注4 ×5 ◎3 ○7,"7-1  3,580円(10)","7-1-3  7,380円(24)",2,明田 春喜,北海道,41,89,S2,追,3.92,98.74,6,11.5,nan,３/４車身,nan
2320220629030005,toride,2022-06-29,5,△1 ▲2 注4 ×5 ◎3 ○7,"7-1  3,580円(10)","7-1-3  7,380円(24)",3,伊藤 慶太郎  埼,玉,28,107,S2,逃,3.92,98.00,3,12.0,nan,１/４車輪,nan
2320220629030005,toride,2022-06-29,5,△1 ▲2 注4 ×5 ◎3 ○7,"7-1  3,580円(10)","7-1-3  7,380円(24)",4,渡辺 正光  福,島,34,95,S2,追,3.92,96.91,7,12.4,nan,大差,nan
2320220629030005,toride,2022-06-29,5,△1 ▲2 注4 ×5 ◎3 ○7,"7-1  3,580円(10)","7-1-3  7,380円(24)",5,二藤 元太  静,岡,38,95,S2,追,3.92,99.50,5,11.6,nan,１/２車身,nan
2320220629030005,toride,2022-06-29,5,△1 ▲2 注4 ×5 ◎3 ○7,"7-1  3,580円(10)","7-1-3  7,380円(24)",6,木村 貴宏  茨,城,45,80,S2,追,3.92,95.38,4,11.8,nan,１車輪,nan
2320220629030005,toride,2022-06-29,5,△1 ▲2 注4 ×5 ◎3 ○7,"7-1  3,580円(10)","7-1-3  7,380円(24)",7,江連 和洋  栃,木,50,76,S2,追,3.85,99.50,1,11.8,差,nan,nan
2320220629030006,toride,2022-06-29,6,×6 ▲2 注5 ○1 ◎3 △7,7-3  190円(1),7-3-4  270円(1),1,小川 圭二  徳,島,51,68,S2,追,3.92,96.38,5,11.0,nan,１/２車身,nan
2320220629030006,toride,2022-06-29,6,×6 ▲2 注5 ○1 ◎3 △7,7-3  190円(1),7-3-4  270円(1),2,松永 将  茨,城,41,89,S2,追,3.92,96.96,4,11.3,nan,１車輪,nan
2320220629030006,toride,2022-06-29,6,×6 ▲2 注5 ○1 ◎3 △7,7-3  190円(1),7-3-4  270円(1),3,松坂 侑亮,神奈川,24,115,S2,逃,3.92,99.12,2,11.0,捲,１/２車輪,nan
2320220629030006,toride,2022-06-29,6,×6 ▲2 注5 ○1 ◎3 △7,7-3  190円(1),7-3-4  270円(1),4,佐々木 省司  青,森,44,86,S2,追,3.92,100.09,3,11.0,nan,２車身,nan
2320220629030006,toride,2022-06-29,6,×6 ▲2 注5 ○1 ◎3 △7,7-3  190円(1),7-3-4  270円(1),5,内田 英介  東,京,40,91,S2,追,3.92,99.32,6,11.2,nan,タイヤ差,nan
2320220629030006,toride,2022-06-29,6,×6 ▲2 注5 ○1 ◎3 △7,7-3  190円(1),7-3-4  270円(1),6,鈴木 謙太郎  茨,城,37,90,S2,逃,3.85,93.66,7,11.7,nan,２車身,nan
2320220629030006,toride,2022-06-29,6,×6 ▲2 注5 ○1 ◎3 △7,7-3  190円(1),7-3-4  270円(1),7,大塚 玲,神奈川,40,89,S2,追,3.92,103.28,1,10.9,差,nan,nan
2320220629030007,toride,2022-06-29,7,◎1 ○4 △7 注6 ×2 ▲3,"5-2  11,600円(16)","5-2-1  35,480円(68)",1,吉田 昌司  茨,城,24,111,S2,逃,3.92,101.34,3,11.4,nan,３/４車身,nan
2320220629030007,toride,2022-06-29,7,◎1 ○4 △7 注6 ×2 ▲3,"5-2  11,600円(16)","5-2-1  35,480円(68)",2,小野 裕次  千,葉,33,95,S2,両,3.93,95.41,2,11.1,ク,１/２車輪,nan
2320220629030007,toride,2022-06-29,7,◎1 ○4 △7 注6 ×2 ▲3,"5-2  11,600円(16)","5-2-1  35,480円(68)",3,中村 良二  福,岡,47,81,S2,追,3.92,99.61,6,11.3,nan,１/４車輪,nan
2320220629030007,toride,2022-06-29,7,◎1 ○4 △7 注6 ×2 ▲3,"5-2  11,600円(16)","5-2-1  35,480円(68)",4,石川 裕二  茨,城,38,99,S2,追,3.92,99.68,7,11.7,nan,３車身,nan
2320220629030007,toride,2022-06-29,7,◎1 ○4 △7 注6 ×2 ▲3,"5-2  11,600円(16)","5-2-1  35,480円(68)",5,工藤 文彦  岡,山,39,97,S2,逃,3.92,95.85,1,11.2,捲,nan,nan
2320220629030007,toride,2022-06-29,7,◎1 ○4 △7 注6 ×2 ▲3,"5-2  11,600円(16)","5-2-1  35,480円(68)",6,台 和紀  埼,玉,45,83,S2,追,3.92,94.75,5,11.2,nan,３/４車身,nan
2320220629030007,toride,2022-06-29,7,◎1 ○4 △7 注6 ×2 ▲3,"5-2  11,600円(16)","5-2-1  35,480円(68)",7,近藤 俊明,神奈川,43,87,S2,追,3.92,99.08,4,11.3,nan,１/４車輪,nan
2320220629030008,toride,2022-06-29,8,注6 ○1 ◎3 △7 ×4 ▲2,2-5  510円(1),"2-5-7  1,650円(3)",1,大野 悟郎  大,分,42,83,S2,追,3.83,98.58,7,11.3,nan,１車身１/２,nan
2320220629030008,toride,2022-06-29,8,注6 ○1 ◎3 △7 ×4 ▲2,2-5  510円(1),"2-5-7  1,650円(3)",2,櫻井 正孝  宮,城,34,100,S2,両,3.92,105.26,1,11.5,差,nan,nan
2320220629030008,toride,2022-06-29,8,注6 ○1 ◎3 △7 ×4 ▲2,2-5  510円(1),"2-5-7  1,650円(3)",3,片岡 迪之  岡,山,35,93,S1,逃,3.92,106.37,6,11.6,nan,１/２車身,nan
2320220629030008,toride,2022-06-29,8,注6 ○1 ◎3 △7 ×4 ▲2,2-5  510円(1),"2-5-7  1,650円(3)",4,小原 丈一郎  青,森,23,115,S2,逃,3.92,101.47,4,11.6,nan,１/８車輪,nan
2320220629030008,toride,2022-06-29,8,注6 ○1 ◎3 △7 ×4 ▲2,2-5  510円(1),"2-5-7  1,650円(3)",5,大森 慶一,北海道,40,88,S1,追,3.86,106.79,2,11.4,ク,１/２車身,nan
2320220629030008,toride,2022-06-29,8,注6 ○1 ◎3 △7 ×4 ▲2,2-5  510円(1),"2-5-7  1,650円(3)",6,成松 春樹  佐,賀,36,93,S2,両,3.93,97.54,5,11.4,nan,１車身,nan
2320220629030008,toride,2022-06-29,8,注6 ○1 ◎3 △7 ×4 ▲2,2-5  510円(1),"2-5-7  1,650円(3)",7,渡部 哲男  愛,媛,42,84,S1,追,3.92,109.15,3,11.3,nan,１/２車輪,nan
2320220629030009,toride,2022-06-29,9,◎1 ○7 注6 ×5 ▲2 △4,1-7  890円(2),"1-7-2  2,690円(5)",1,阿部 拓真  宮,城,31,107,S2,両,3.93,103.67,1,11.7,差,nan,nan
2320220629030009,toride,2022-06-29,9,◎1 ○7 注6 ×5 ▲2 △4,1-7  890円(2),"1-7-2  2,690円(5)",2,松岡 貴久  熊,本,38,90,S2,両,3.92,107.33,3,11.7,nan,３/４車輪,nan
2320220629030009,toride,2022-06-29,9,◎1 ○7 注6 ×5 ▲2 △4,1-7  890円(2),"1-7-2  2,690円(5)",3,内藤 秀久,神奈川,40,89,S1,追,3.92,110.56,4,11.2,nan,タイヤ差,nan
2320220629030009,toride,2022-06-29,9,◎1 ○7 注6 ×5 ▲2 △4,1-7  890円(2),"1-7-2  2,690円(5)",4,道場 晃規  静,岡,24,117,S2,逃,3.93,101.20,6,11.6,nan,１/２車身,nan
2320220629030009,toride,2022-06-29,9,◎1 ○7 注6 ×5 ▲2 △4,1-7  890円(2),"1-7-2  2,690円(5)",5,林 大悟  福,岡,27,109,S1,逃,3.92,106.35,5,11.9,nan,１車身,nan
2320220629030009,toride,2022-06-29,9,◎1 ○7 注6 ×5 ▲2 △4,1-7  890円(2),"1-7-2  2,690円(5)",6,山田 敦也,北海道,38,88,S2,追,3.92,100.09,7,11.7,nan,１/４車輪,nan
2320220629030009,toride,2022-06-29,9,◎1 ○7 注6 ×5 ▲2 △4,1-7  890円(2),"1-7-2  2,690円(5)",7,内藤 宣彦  秋,田,51,67,S1,追,3.92,107.55,2,11.6,ク,１/２車輪,nan
2320220629030010,toride,2022-06-29,10,◎7 ○1 △3 ×5 ▲2 注4,"6-7  7,800円(21)","6-7-1  25,970円(61)",1,佐藤 礼文  茨,城,30,115,S2,両,3.92,101.47,3,11.0,nan,１/４車輪,nan
2320220629030010,toride,2022-06-29,10,◎7 ○1 △3 ×5 ▲2 注4,"6-7  7,800円(21)","6-7-1  25,970円(61)",2,湊 聖二  徳,島,45,86,S2,追,3.92,106.06,6,10.8,nan,１車身,nan
2320220629030010,toride,2022-06-29,10,◎7 ○1 △3 ×5 ▲2 注4,"6-7  7,800円(21)","6-7-1  25,970円(61)",3,岡崎 景介  広,島,40,87,S2,逃,3.92,100.84,5,10.9,nan,１/２車輪,nan
2320220629030010,toride,2022-06-29,10,◎7 ○1 △3 ×5 ▲2 注4,"6-7  7,800円(21)","6-7-1  25,970円(61)",4,小笠原 光  岩,手,26,117,S2,逃,3.92,100.86,7,11.9,nan,７車身,nan
2320220629030010,toride,2022-06-29,10,◎7 ○1 △3 ×5 ▲2 注4,"6-7  7,800円(21)","6-7-1  25,970円(61)",5,久米 康平  徳,島,30,100,S1,逃,3.92,103.89,4,10.7,nan,１/４車輪,nan
2320220629030010,toride,2022-06-29,10,◎7 ○1 △3 ×5 ▲2 注4,"6-7  7,800円(21)","6-7-1  25,970円(61)",6,佐藤 博紀  岩,手,36,96,S2,両,3.92,96.88,1,11.0,捲,nan,nan
2320220629030010,toride,2022-06-29,10,◎7 ○1 △3 ×5 ▲2 注4,"6-7  7,800円(21)","6-7-1  25,970円(61)",7,坂井 洋  栃,木,27,115,S1,逃,3.92,110.85,2,11.1,捲,３/４車身,nan
2320220629030011,toride,2022-06-29,11,注6 ×1 △4 ◎5 ○3 ▲7,3-7  350円(1),"3-7-5  1,030円(3)",1,小林 申太  茨,城,39,101,A1,両,3.92,89.88,5,11.3,nan,２車身,nan
